,39001,nn_m,nn_std,orig
1997-04-09,7.41,6.886756611678642,0.2749365262614098,7.41
1997-04-10,6.2,6.8398460602757405,0.22992489592406906,6.2
1997-04-11,2.05,6.281701346727576,0.2469773331124752,2.05
1997-04-12,4.8,2.9427440547509405,0.26702599408021066,4.8
1997-04-13,6.27,4.646423421621341,0.30499744354626873,6.27
1997-04-14,5.0,5.9835840603280745,0.2414622271885481,5.0
1997-04-15,3.93,5.222470089355502,0.1925942216916426,3.93
1997-04-16,2.97,4.435138744991588,0.18171441695820356,2.97
1997-04-17,3.91,3.5065312050251367,0.16376769614359366,3.91
1997-04-18,4.44,4.095951229391797,0.21618707849071575,4.44
1997-04-19,6.3,4.064413806019541,0.20901633477242906,6.3
1997-04-20,7.36,5.658116948578786,0.22351073034659952,7.36
1997-04-21,6.7,6.808829859022354,0.2570808561977105,6.7
1997-04-22,6.37,6.5284019677042195,0.2985649252743087,6.37
1997-04-23,6.5,6.0757217376565835,0.2477538306087825,6.5
1997-04-24,7.74,6.4089438942094565,0.3225295677016156,7.74
1997-04-25,7.6,8.360506201474765,0.4531926752567166,7.6
1997-04-26,7.16,8.282238603629951,0.4895874926938444,7.16
1997-04-27,7.15,6.54801953292549,0.4613140970834059,7.15
1997-04-28,8.11,6.741517574808745,0.2928999943261594,8.11
1997-04-29,4.73,7.07705511954179,0.19136635354524933,4.73
1997-04-30,8.73,5.164868706181925,0.1985550910795402,8.73
1997-05-01,6.18,7.379917205641147,0.2464448895694047,6.18
1997-05-02,7.48,5.951170850786682,0.2160561304553631,7.48
1997-05-03,7.85,7.026062904329312,0.3000919867804215,7.85
1997-05-04,6.05,7.729317387359723,0.3073912431593784,6.05
1997-05-05,8.46,7.757459755689089,0.5711827829835266,8.46
1997-05-06,6.14,9.220068985507744,0.6640004922153262,6.14
1997-05-07,6.49,6.710943110479093,0.34565712642383545,6.49
1997-05-08,6.42,6.943507828098452,0.6672619288310652,6.42
1997-05-09,7.75,7.202271844674987,0.7752542896119038,7.75
1997-05-10,7.03,8.238223333895794,0.4177758326033343,7.03
1997-05-11,12.3,7.663112144016953,0.32415787726029555,12.3
1997-05-12,6.52,10.872448940681796,0.5031178547607833,6.52
1997-05-13,7.19,6.644014507323319,0.5207941674221951,7.19
1997-05-14,9.4,6.843344511706187,0.3147981534811861,9.4
1997-05-15,5.85,8.33753849595594,0.2241788893937605,5.85
1997-05-16,7.12,7.456565790149559,0.6662581158026047,7.12
1997-05-17,7.91,7.879864087201911,0.6719058977502687,7.91
1997-06-15,3.81,5.852774549137252,0.8372559116234048,3.81
1997-06-16,3.46,5.229892157355025,0.5635351378065035,3.46
1997-07-04,7.92,9.120149232712977,1.151542366814185,7.92
1997-07-05,7.83,8.801577456621427,0.641422605659681,7.83
1997-07-27,6.34,8.576205457865427,0.9796650116816747,6.34
1997-07-28,6.37,6.022306310900273,0.32171713235794563,6.37
1997-07-29,6.43,6.254472113926701,0.3706704496321442,6.43
1997-07-30,7.12,6.394033892553769,0.3096306465480093,7.12
1997-07-31,8.02,7.767933429832446,0.4523697412467849,8.02
1997-08-01,6.51,9.206986559326943,0.7063082983791991,6.51
1997-08-02,6.76,7.2522189023848895,0.5692802879025637,6.76
1997-08-03,8.32,6.672563796132238,0.4300081427127352,8.32
1997-08-04,8.74,8.631264819803006,0.33761779484939736,8.74
1997-08-05,8.48,9.707356586689274,0.37745959909512294,8.48
1997-08-06,32.8,25.63600780518567,1.4435260836267685,32.8
1997-08-07,24.2,39.108309263962404,2.460669557987585,24.2
1997-08-08,13.9,11.399016878621184,1.8871888985383083,13.9
1997-08-09,7.49,12.29039853394967,1.5756890798531211,7.49
1997-08-10,7.58,7.154659862998916,0.6781854213241072,7.58
1997-08-11,6.3,6.911176916361432,0.4211912729230332,6.3
1997-08-12,7.37,6.332844301262021,0.3551857346337999,7.37
1997-08-13,7.45,8.026095500550518,0.5170464365117018,7.45
1997-08-14,6.85,7.6726176318001995,0.3777393251336876,6.85
1997-08-15,7.56,6.036125765189582,0.3859095331651266,7.56
1997-08-20,8.95,8.035302428357845,0.4278890180052198,8.95
1997-08-21,8.6,8.506626886482199,0.26282739672588395,8.6
1997-09-11,6.55,7.165931310330325,0.2899004941887431,6.55
1997-09-12,8.64,6.857064000067368,0.5633881011140284,8.64
1997-09-13,7.0,7.24941526564062,0.398294090760527,7.0
1997-09-14,6.7,7.1468805774500455,0.4549607878408945,6.7
1997-09-15,8.18,6.7825104117398665,0.2519956576723393,8.18
1997-09-16,7.05,7.766385133042453,0.20980794896913896,7.05
1997-09-17,6.78,7.244543753148499,0.22135832567254107,6.78
1997-09-18,6.01,7.2326001971836975,0.2826341123224854,6.01
1997-09-19,5.0,7.043865282840918,0.302190011270785,5.0
1997-09-20,5.37,5.729128039783291,0.3241863510923784,5.37
1997-09-21,5.25,4.660672426518857,0.18706406741965068,5.25
1997-09-22,3.85,4.570806103400494,0.2637958904042425,3.85
1997-09-23,5.34,4.066043300317514,0.32822235138597866,5.34
1997-09-24,4.9,5.135477857994894,0.24205433647828226,4.9
1997-09-29,4.85,5.510135412147646,0.32391591639886896,4.85
1997-09-30,4.94,5.256148773956351,0.2940307398016713,4.94
1997-10-01,4.14,4.874635461284332,0.2952144673817982,4.14
1997-10-02,4.53,4.264037236336949,0.334764700251718,4.53
1997-10-03,4.65,4.432097496560848,0.3197389802388971,4.65
1997-10-04,4.99,4.579736062464585,0.3193963727170227,4.99
1997-10-05,4.61,4.7091163330562935,0.3547494337313835,4.61
1997-10-06,5.26,4.879692712519867,0.379215936557822,5.26
1997-10-07,5.76,8.45247535142744,0.6754628182262808,5.76
1997-10-08,7.51,9.595916439668398,0.7293152953369736,7.51
1997-10-09,12.6,9.48607349233536,1.607577953472083,12.6
1997-10-10,9.94,9.185341963226703,1.8620668865097558,9.94
1997-10-11,9.5,9.378673138517373,1.7824204659405611,9.5
1997-10-12,10.9,9.367064977033083,2.9634338033469128,10.9
1997-10-13,6.07,5.579934693552122,0.7975042328522776,6.07
1997-10-14,6.84,5.1231850332975615,0.8979030823830241,6.84
1997-10-15,13.4,10.463077123595646,0.8213367947725059,13.4
1997-10-16,10.6,13.524453917558358,0.8967280098045494,10.6
1997-10-17,5.77,7.740596755250119,0.8126947797112797,5.77
1997-10-18,6.56,5.170478168711383,0.5317634684700836,6.56
1997-10-19,5.33,5.812409050724135,0.29604127706740496,5.33
1997-10-20,4.31,5.52118648720008,0.15981136066515952,4.31
1997-10-21,4.65,4.581010077486401,0.19420970026782947,4.65
1997-10-22,4.65,4.312694605879847,0.30546977743811443,4.65
1997-10-23,4.29,4.4788072822601865,0.23204912504648398,4.29
1997-10-24,4.85,4.718802494971901,0.2824799316956333,4.85
1997-10-25,5.77,4.801463159268433,0.2983720951477681,5.77
1997-10-26,4.41,5.416375368653156,0.2480101675560484,4.41
1997-10-27,4.89,4.868390114896231,0.2872996043281765,4.89
1997-10-28,4.78,4.8653072961066535,0.22372669809650853,4.78
1997-10-29,4.35,4.625499116919767,0.24078872689342315,4.35
1997-10-30,5.25,4.509214597628668,0.2441168900258241,5.25
1997-10-31,5.16,4.9830434089028985,0.29772695831704765,5.16
1997-11-01,5.22,4.947728626830232,0.3073043435809104,5.22
1997-11-02,5.64,5.137522327089775,0.2776033496403689,5.64
1997-11-03,5.42,5.5151786638377445,0.30406157215311796,5.42
1997-11-04,6.51,5.603160549694884,0.3142933446649084,6.51
1997-11-05,6.22,7.508040812926082,0.4915312256636119,6.22
1997-11-06,16.1,9.659062688764227,0.3700223561538755,16.1
1997-11-07,12.2,15.398864443683655,0.8299889057139275,12.2
1997-11-08,13.4,13.937806581761274,0.8297397517221828,13.4
1997-11-09,15.9,27.29579669174288,2.059225802116484,15.9
1997-11-10,30.7,30.141649876513142,2.9530861169459475,30.7
1997-11-11,15.2,25.862310202495607,3.660003359363244,15.2
