,47019,nn_m,nn_std
2003-05-17,3.51,3.259397100629497,0.11359667702503153
2003-05-18,2.55,2.344139210552342,0.14046954143785026
2003-05-19,2.03,1.9066554331191037,0.1574976911739745
2003-05-20,1.79,1.6872987702467277,0.08736512242567021
2003-05-21,1.76,1.6991977784279209,0.061794900732582245
2003-05-22,2.0,1.9339078815292812,0.05723736716088128
2003-05-23,2.4,2.2234906480738235,0.09231096401429845
2003-05-24,4.72,3.864443368627084,0.08792520389062965
2003-05-25,2.56,2.440076891393033,0.08370982513299131
2003-05-26,2.01,2.15421886054863,0.09237190229594831
2003-05-27,2.39,2.100078921833242,0.07585435011981945
2003-05-28,1.95,1.8181062770040697,0.05952021044731056
2003-05-29,1.72,1.6804112208955826,0.06355727432912005
2003-05-30,1.58,1.4878304834101972,0.04966752042559717
2003-05-31,1.48,1.4272152372251956,0.04517481797816676
2003-06-01,1.44,1.3970607993249127,0.05485641313673811
2003-06-02,1.41,1.3593959753350078,0.04923729695309909
2003-06-03,1.38,1.3421829781221064,0.04297181156487028
2003-06-04,1.62,1.6637672464205702,0.04771169107243075
2003-06-05,1.52,1.487984241168536,0.1034706162159371
2003-06-06,1.65,1.7191037096963981,0.06505702224921973
2003-06-07,1.45,1.408733999409084,0.11442410050613773
2003-06-08,1.49,1.4521284006393325,0.09562772898209165
2003-06-09,1.52,1.4545024900740546,0.08569845770746558
2003-06-10,1.77,1.915218365618105,0.0775254574416407
2003-06-11,1.62,1.604575644478261,0.08730146146184192
2003-06-12,1.29,1.1977990495073936,0.0853290612303709
2003-06-13,1.17,1.1678593963343513,0.05153581725820387
2003-06-14,1.12,1.1094974553877526,0.044101509872876525
2003-06-15,1.05,1.0407147836336719,0.041706281739164616
2003-06-16,0.998,1.007396677275119,0.0436368319652049
2003-06-17,0.978,0.9937128968453035,0.04677481272415061
2003-06-18,0.978,0.9898365668243263,0.04992855009973653
2003-06-19,0.9940000000000001,1.037874152716492,0.04810181428433583
2003-06-20,0.98,0.9695067437253917,0.04876178443582956
2003-06-21,0.898,0.8566544633951286,0.048402451198140586
2003-06-22,0.987,0.9600849022092316,0.04677319408916538
2003-06-23,1.13,1.182152669008287,0.057560288221662995
