,33013,orig,nn_m,nn_std
1954-03-21,0.963,0.963,0.9955209743371438,0.023350912904367405
1954-03-22,0.963,0.963,1.015904208046082,0.029455407350344107
1954-03-23,0.85,0.85,0.939823044791003,0.02885355458770727
1954-03-24,0.736,0.736,0.8834701692713358,0.02843017460612398
1954-03-25,0.736,0.736,0.7558778462201478,0.029798874614067543
1954-03-26,0.963,0.963,0.6831317097977622,0.023437751099574217
1954-03-27,0.963,0.963,1.2118244407284702,0.09260405331953356
1954-03-28,1.1,1.1,0.9920138717963288,0.06486553379809795
1954-03-29,1.1,1.1,1.1890757008417547,0.08637631461996567
1954-03-30,1.1,1.1,1.0027389661421025,0.04994236768034559
1954-03-31,1.22,1.22,1.192084945094343,0.08534502781147876
1954-04-01,1.5,1.5,1.2605492472861124,0.058470633507173304
1954-04-02,1.64,1.64,2.113075624262911,0.07273989424953538
1954-04-03,1.64,1.64,1.7223684018796703,0.07938187308596038
1954-04-04,1.27,1.27,1.6286349644542633,0.07965297211037328
1954-04-05,1.27,1.27,1.0730924859378501,0.0762235170603896
1954-04-06,1.22,1.22,1.1500659177816661,0.07567165504069288
1954-04-07,1.22,1.22,1.1105946159532147,0.053555196868352466
1954-04-08,1.1,1.1,1.0779217628351543,0.036289016997263904
1954-04-09,0.963,0.963,0.8657936819459215,0.0418550252296443
1954-04-10,0.963,0.963,0.8804692360916637,0.05570594177748612
1954-04-11,0.85,0.85,1.0669831223987525,0.03847741876867174
1954-04-12,0.85,0.85,0.8836449367640307,0.029898854234026155
1954-04-13,0.736,0.736,0.7794693679059593,0.030206260318441914
1954-04-14,0.736,0.736,0.6179239334759817,0.022966392607334338
1954-04-15,0.736,0.736,0.6292658372681723,0.027367824316897712
1954-04-16,0.736,0.736,0.7077141553045653,0.024217364059112224
1954-04-17,0.736,0.736,0.714610131424548,0.02394604437073286
1954-04-18,0.736,0.736,0.813638408773073,0.019609885894962646
1954-04-19,0.736,0.736,0.7522688472757155,0.019074445384205253
1954-04-20,0.736,0.736,0.7501835978157697,0.02047316683015849
1954-04-21,0.736,0.736,0.7025242992862766,0.017770828094400067
1954-04-22,0.68,0.68,0.6838214472382985,0.019870303359967728
1954-04-23,0.68,0.68,0.6662917922216058,0.02010601494411972
1954-04-24,0.68,0.68,0.6752900889070033,0.01456074303075808
1954-04-25,0.736,0.736,0.6749321278454821,0.017135786969651203
1954-04-26,0.736,0.736,0.7315156883479325,0.018136232399252494
1954-04-27,0.736,0.736,0.683207491632904,0.022043934840416373
1954-04-28,0.736,0.736,0.6783643007137108,0.021773563741070947
1954-04-29,0.68,0.68,0.7137025931805662,0.022737678476897175
1954-04-30,0.68,0.68,0.6754439716296132,0.020114967668048805
1954-05-01,0.68,0.68,0.6852486369214418,0.01821524196145981
1954-05-02,0.736,0.736,0.9285338146205881,0.028731844100381116
1954-05-03,0.736,0.736,0.808675182119445,0.023984853786781134
1954-05-04,0.963,0.963,1.0596902993773507,0.060270099575257925
1954-05-05,0.963,0.963,1.0963743667078776,0.055389180979541534
1954-05-06,0.9059999999999999,0.9059999999999999,0.8381158423902789,0.041909763683862705
1954-05-07,0.85,0.85,0.8048578988322043,0.03857358981384046
1954-05-08,0.85,0.85,0.8135440816961536,0.037720540113164384
1954-05-09,0.68,0.68,0.556656949929643,0.04498088028309179
1954-05-10,0.68,0.68,0.6192736784986969,0.0392359746499563
1954-05-11,0.736,0.736,0.7297119206378261,0.032800110092768724
1954-05-12,0.623,0.623,0.8093047806960614,0.028651121692456843
1954-05-13,0.623,0.623,0.5682193993880931,0.02626789077266936
1954-05-14,0.623,0.623,0.6233257267304788,0.022730937452505057
1954-05-15,0.623,0.623,0.6105046181543621,0.02432584433078419
1954-05-16,0.736,0.736,0.6980200175481743,0.022045697180487406
1954-05-17,0.736,0.736,0.7304726986302216,0.016517186710220563
1954-05-18,0.68,0.68,0.7397323730144723,0.021901790411704553
1954-05-19,0.68,0.68,0.6854955006826684,0.01767151804227492
1954-05-20,0.623,0.623,0.6421837506166981,0.015864837658378133
1954-05-21,0.623,0.623,0.6175358083248023,0.016607292732414906
1954-05-22,0.623,0.623,0.6511935539520246,0.017952317337502726
1954-05-23,0.623,0.623,0.631368731583101,0.018702835620482017
1954-05-24,0.623,0.623,0.6282263566109543,0.016435219304550552
1954-05-25,0.623,0.623,0.6189613175705215,0.01459820761127132
1954-05-26,0.623,0.623,0.5703384131156646,0.01709937849637144
1954-05-27,0.5660000000000001,0.5660000000000001,0.6032527223186577,0.018928006048480175
