,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1992-03-11,0.20763533,0.21397358,0.21539775,0.21364038,0.2046813,0.20378771,0.22372776,0.21151608,0.21385033,0.20563039,0.2034816,0.1876805,0.22204518,0.22741129,0.19638783,0.21303241,0.2107234,0.2165735,0.22218695,0.19523045
1992-03-12,0.2111619,0.22418056,0.21844377,0.21631728,0.21533172,0.20035265,0.2269971,0.21170008,0.21166335,0.21341383,0.21523958,0.20777419,0.21793741,0.22894663,0.21487337,0.2223171,0.21677455,0.21560308,0.22223185,0.20510593
1992-03-13,0.28376025,0.24478641,0.23679452,0.26396322,0.25346494,0.24792413,0.26925758,0.2575,0.2472459,0.26052314,0.27089638,0.23667216,0.26079515,0.26303175,0.26606268,0.2641438,0.25533536,0.27809173,0.27609593,0.22806121
1992-03-14,0.2435807,0.26057437,0.24311776,0.25241965,0.24579163,0.24441135,0.26388472,0.24758989,0.24109524,0.24489388,0.24871741,0.2355077,0.24817923,0.25335234,0.23778114,0.24311058,0.25556293,0.2644859,0.2549823,0.25128564
1992-03-15,0.21600932,0.2392388,0.21498437,0.22934116,0.23860133,0.22374259,0.25362474,0.2182743,0.22838949,0.22861058,0.22077708,0.21663217,0.22231168,0.21637753,0.21667926,0.22103909,0.2166394,0.22579774,0.23154865,0.22681096
1992-03-16,0.24414615,0.25151268,0.24603045,0.23086065,0.23894528,0.23375712,0.25215966,0.2366583,0.23612359,0.22827572,0.241718,0.21488486,0.25155586,0.24163383,0.23066342,0.23117748,0.24780756,0.25871956,0.24667066,0.23037936
1992-03-17,0.23900898,0.24351376,0.2717145,0.23784195,0.24177639,0.24938051,0.2624485,0.2372492,0.23612766,0.2242401,0.22650026,0.22708906,0.24657437,0.24994974,0.24006222,0.23335688,0.24956173,0.2412459,0.24724394,0.24036475
1992-03-18,0.24232696,0.24551192,0.24985728,0.23273063,0.23526411,0.23321387,0.25037625,0.23969239,0.23143557,0.2254026,0.21677345,0.2228403,0.238857,0.24581444,0.23658897,0.22639401,0.23933381,0.24156517,0.24450378,0.22090572
1992-03-19,0.24764815,0.24685329,0.2642791,0.23908891,0.23439516,0.23763505,0.25354508,0.24037552,0.23331465,0.22588748,0.22324368,0.22600742,0.24202302,0.2498023,0.23354438,0.23354703,0.24303752,0.24406376,0.24681348,0.22608598
1992-03-20,0.24020322,0.23908013,0.24737209,0.22950272,0.22567074,0.22587278,0.23760585,0.23180413,0.22840421,0.22138643,0.21255007,0.22229353,0.23613077,0.24108039,0.2281032,0.22917378,0.23442739,0.23668209,0.24159575,0.2155016
1992-03-21,0.24134202,0.24334504,0.24836285,0.227039,0.2285436,0.21944612,0.24064054,0.23051608,0.23101585,0.22509621,0.22341576,0.22227204,0.23108244,0.24202853,0.22728506,0.23357141,0.23520377,0.23527446,0.24053954,0.21408755
1992-03-22,0.28511712,0.2723694,0.27319404,0.28136158,0.27317438,0.2857431,0.2927383,0.28698388,0.27097917,0.27711186,0.29565072,0.2711106,0.26768866,0.2890642,0.28108472,0.28592908,0.26614907,0.2930436,0.2895664,0.2413044
1992-03-23,0.34513244,0.29618043,0.29924434,0.3116147,0.32281405,0.3264677,0.32627675,0.34212893,0.30985844,0.32054907,0.33986413,0.3206317,0.3158672,0.3249383,0.31797427,0.3259783,0.31762135,0.35017982,0.33273482,0.30029258
