date,54057,nn_m,nn_std
2000-03-30,46.5,47.42450069885161,0.3315269941717612
2000-03-31,45.2,45.70005451629675,0.28947865436073583
2000-04-01,43.8,44.95078882284661,0.32648169463091986
2000-04-02,51.0,66.97945937660744,5.282153321751806
2000-04-03,195.0,193.8035100925446,6.59547040420998
2000-04-04,377.0,361.0050753840591,5.057259251957494
2000-04-05,334.0,335.27929715700805,5.696344961609574
2000-04-06,208.0,208.10216397114118,3.609030060340974
2000-04-07,145.0,139.77500368590037,1.7075843994456947
2000-04-08,115.0,120.39961887746195,2.0593362638880355
2000-04-09,88.2,97.58498233054813,0.6879199567635629
2000-04-10,77.7,76.69334641939103,2.197506736235397
2000-04-11,91.9,102.56522126319912,3.17233359093458
2000-04-12,174.0,170.98260556042572,3.6462521115160884
2000-04-13,263.0,258.70951511487954,4.261736618597298
2000-04-14,237.0,238.17016787663735,2.925618127046541
2000-04-15,174.0,170.71724213355768,1.8863862810345058
2000-04-16,141.0,132.4756521780318,1.1077277120092528
2000-04-17,173.0,169.43341056264256,3.2028733697296263
2000-04-18,258.0,269.0532624325949,9.658733434756932
2000-04-19,406.0,382.39852493501627,9.031930719097106
2000-04-20,404.0,395.84200146334854,11.460008108406475
2000-04-21,300.0,313.22212925236823,11.07975691186227
2000-04-22,299.0,298.38081393356424,1.8754390972405026
2000-04-23,317.0,319.63352623099235,4.057369836745305
2000-04-24,256.0,271.46029667475574,3.8456601177206267
2000-04-25,250.0,250.96056705336693,2.281740871420923
2000-04-26,295.0,293.57924175357596,2.8025747422857443
2000-04-27,345.0,337.70041438645745,4.043998775977642
2000-04-28,273.0,294.3868081162362,3.6725695436273984
2000-04-29,274.0,264.7987085601998,1.6490106552604271
2000-04-30,234.0,245.9022311651377,2.7185392073571637
2000-05-01,195.0,187.52033821600435,1.6840721946470514
2000-05-02,156.0,156.96184688469177,0.7637828031606764
2000-05-03,135.0,129.5156873689101,0.6150709022576892
2000-05-04,126.0,117.63286237059431,1.3734940807904799
2000-05-05,119.0,117.78421334471136,1.249312257353849
2000-05-06,111.0,109.00681687228435,1.0420146494166325
2000-05-07,96.7,101.64359480502867,0.7640829118932276
2000-05-08,80.2,85.8639343474107,0.6037946123950069
2000-05-09,69.2,69.5632870987364,0.5289986600765243
