date,0,1,2,3,4,5,6,7,8,9
2016-12-11,2.2954652,2.5459895,2.1917665,2.9413598,2.6541238,1.991204,2.8313363,2.1956298,2.583157,2.1300569
2016-12-12,3.2797592,2.7722132,2.593701,2.7201297,3.6861835,3.2900004,2.780674,3.636178,2.7998083,3.4979396
2016-12-13,2.8477683,1.8006765,1.6337051,2.0265677,2.3530354,2.2975044,1.2095902,2.27198,1.5279694,2.6616025
2016-12-14,2.2793062,1.9318863,2.344011,2.0015159,2.1534057,1.9816732,2.4159825,2.4299512,2.0122304,2.3760526
2016-12-15,2.1614254,1.752097,1.8056891,2.0232642,2.0884964,1.8520834,1.892302,2.3661222,1.7695116,2.2434044
2016-12-16,1.819777,1.4273288,1.4097369,1.531149,1.6018455,1.5596011,1.6023767,1.8654592,1.4109443,1.7721735
2016-12-17,1.5861696,1.3053782,1.2498088,1.3841165,1.3485823,1.2814937,1.5667531,1.4192517,1.2824459,1.4766698
2016-12-18,1.3417543,1.1936833,0.9549234,1.3191043,1.0773063,1.1901733,1.3104372,1.0860243,1.1063924,1.2658023
2016-12-19,1.1382964,1.0919163,0.9279046,1.3441521,1.1794796,1.3191577,1.2365619,0.9960799,1.1937834,1.2141001
2016-12-20,1.0858276,1.0909691,1.0223932,1.212874,1.205203,1.320762,1.2457067,0.964077,1.156471,1.118389
2016-12-21,1.1121049,1.0487089,1.0712507,1.045853,1.1607969,1.1589847,1.177771,0.94849336,1.1835315,1.0909477
2016-12-22,1.0596293,1.0018153,1.0418601,1.0101776,1.1115518,1.0582533,1.0992054,0.9283085,1.119182,1.03843
2016-12-23,0.9863774,0.95996755,1.0227898,0.9670273,1.0416129,0.98043674,1.0246958,0.90150476,1.0372993,0.9879825
2016-12-24,0.9600523,0.97114074,1.0542537,1.005277,1.0397817,0.96347785,1.0330937,0.9003961,1.0529437,0.9616937
2016-12-25,1.1548201,1.2320131,1.22819,1.3088654,1.3355691,1.1908932,1.2842125,1.206449,1.3006911,1.2452717
2016-12-26,0.97964203,0.80181485,0.97730285,0.83095443,0.9628006,0.97286284,0.9564714,0.8484596,0.91717637,0.781645
2016-12-27,0.9731557,0.89452195,0.83827245,0.88237774,0.91574186,1.0433438,0.9543406,0.88492286,0.99036187,0.9177982
2016-12-28,0.84780973,0.7493008,0.8122328,0.85294807,0.7938609,0.9870028,0.9095927,0.6716156,0.90988064,0.7637461
2016-12-29,0.7897343,0.71989554,0.78517514,0.77934766,0.75375915,0.9052945,0.8797718,0.6298639,0.84151804,0.7287245
2016-12-30,0.7797042,0.7755645,0.78419465,0.84482384,0.838113,0.89501905,0.8939857,0.6757585,0.90718096,0.8048421
2016-12-31,0.7624209,0.7642416,0.81746304,0.81187487,0.87053883,0.83518887,0.8767685,0.6822769,0.8593379,0.78570616
2017-01-01,0.88160133,0.95887697,0.98029566,0.93125474,1.0430946,0.94415,0.9955993,0.84175944,1.0007136,0.9559707
2017-01-02,1.6955072,1.7297711,1.5293181,1.8355896,1.9574177,1.5867323,1.9067409,1.6656603,1.9634166,1.7490935
2017-01-03,2.3423095,1.9002588,1.8313193,2.031807,2.5847707,2.4378378,2.2481031,2.4521668,2.439684,2.4956234
2017-01-04,1.3082705,1.0641385,0.9703726,1.125178,1.2961563,1.4778061,1.0890665,1.2259585,0.8739228,1.3236976
2017-01-05,1.2311361,1.2955288,1.1866097,1.2063324,1.3176761,1.505903,1.3990095,1.3240212,1.3136584,1.1839557
2017-01-06,1.205725,1.2601749,1.1717715,1.2294983,1.2662373,1.4186071,1.2984996,1.1190183,1.3062062,1.2669581
2017-01-07,1.6326042,1.7255096,1.6734886,1.8685647,1.8293312,1.6653141,1.7066503,1.4983702,1.73892,1.6594713
2017-01-08,2.6661932,2.4147396,2.2470686,2.60757,3.0071855,2.864738,2.8388379,2.806131,3.0028064,2.8971348
2017-01-09,2.0709217,1.8536805,1.7214382,2.0754387,2.0389202,2.37944,1.5169728,2.1797,1.7540245,2.2527623
2017-01-10,2.2608223,2.2361424,2.1012702,2.3298862,2.469022,2.6275556,2.2069206,2.7576118,2.2731774,2.4121006
2017-01-11,2.5342233,2.3675368,2.3133826,2.6460245,2.6608715,2.9371955,2.3839898,3.1289356,2.621063,2.740275
2017-01-12,2.5562403,2.24343,2.3849728,2.2176812,2.4180288,2.7163854,2.429391,2.7465944,2.2236013,2.5455313
2017-01-13,2.163671,1.9585189,1.9445844,1.9614507,2.1347346,2.1922174,2.2900236,2.2523532,1.8931597,2.0356169
2017-01-14,2.4044752,2.1326172,1.8643703,2.345178,2.491891,2.4162145,2.4501185,2.8711472,2.2474585,2.5955033
2017-01-15,2.0665135,1.7291669,1.6672676,1.8312312,2.0362003,2.158944,1.833007,1.9706823,1.6842681,2.0898204
2017-01-16,4.2037344,4.094739,4.3219166,4.273078,4.294841,4.142829,4.5355916,5.22394,3.8479733,4.496621
2017-01-17,3.5397165,3.0532515,3.5301287,3.3991203,3.6264915,3.288799,3.6059911,4.262018,2.9878876,3.1049805
2017-01-18,2.8069754,1.7518885,2.4436517,1.2919017,1.9157779,1.7312993,1.9531045,2.620376,1.0513533,1.7874765
2017-01-19,2.3573616,1.9519836,1.6548858,1.8459078,1.5953686,1.4892817,1.9285609,2.0295212,1.7904907,2.4650576
2017-01-20,1.6843375,1.8129127,1.4437995,1.7634205,1.6043876,1.5948064,1.5390118,1.6936219,1.7691103,1.9219867
2017-01-21,1.405906,1.5062534,1.4235873,1.8802868,1.7763066,1.604236,1.4026206,1.5682483,1.7337606,1.6561639
2017-01-22,1.3907517,1.3831156,1.527071,1.6085746,1.611465,1.6016176,1.3796991,1.5551693,1.6557122,1.5611823
2017-01-23,1.483377,1.4184867,1.6789694,1.5626347,1.4846382,1.6256465,1.4643824,1.5382239,1.6650438,1.644511
2017-01-24,1.1179967,1.2135103,1.3498194,1.2441876,1.2061739,1.3812013,1.2197948,1.197396,1.3628935,1.2513871
2017-01-25,1.2023942,1.175028,1.301486,1.2142586,1.1362535,1.390634,1.1609688,1.2078496,1.2798315,1.2978033
2017-01-26,1.2178994,1.1758302,1.2962317,1.1509244,1.1576886,1.312237,1.114395,1.1152291,1.3201305,1.244706
